id,playerID,year,teamName,teamID,league,round,position,games,GS,InnOuts,PO,assists,errors,DP,TP,PB,SB,CS,createdAt,updatedAt
63,owenfr01,1906,CHA,1906CHA,AL,WS,P,1,0,18,0,4,0,0,0,,,,,
64,pfiesja01,1906,CHN,1906CHN,NL,WS,P,2,1,31,0,2,1,0,0,,,,,
65,reulbed01,1906,CHN,1906CHN,NL,WS,P,2,2,33,0,4,0,0,0,,,,,
66,rohege01,1906,CHA,1906CHA,AL,WS,3B,6,6,162,4,17,3,0,0,,,,,
67,schulfr01,1906,CHN,1906CHN,NL,WS,RF,6,6,159,6,1,0,1,0,,,,,
68,sheckji01,1906,CHN,1906CHN,NL,WS,LF,6,6,159,10,1,0,1,0,,,,,
69,steinha01,1906,CHN,1906CHN,NL,WS,3B,6,6,159,3,9,1,0,0,,,,,
70,sullibi03,1906,CHA,1906CHA,AL,WS,C,6,6,162,35,10,2,1,0,0,,,,
71,tannele01,1906,CHA,1906CHA,AL,WS,SS,3,3,81,1,8,0,0,0,,,,,
72,tinkejo01,1906,CHN,1906CHN,NL,WS,SS,6,6,159,10,20,2,0,0,,,,,
73,walshed01,1906,CHA,1906CHA,AL,WS,P,2,2,45,0,5,1,0,0,,,,,
74,whitedo01,1906,CHA,1906CHA,AL,WS,P,3,2,45,1,3,0,0,0,,,,,
75,archeji01,1907,DET,1907DET,AL,WS,C,1,1,27,4,1,0,0,0,0,,,,
76,brownmo01,1907,CHN,1907CHN,NL,WS,P,1,1,27,1,1,0,0,0,,,,,
77,chancfr01,1907,CHN,1907CHN,NL,WS,1B,4,4,117,44,1,0,3,0,,,,,
78,cobbty01,1907,DET,1907DET,AL,WS,RF,5,5,138,10,0,0,0,0,,,,,
79,coughbi01,1907,DET,1907DET,AL,WS,3B,5,5,138,9,7,2,0,0,,,,,
80,crawfsa01,1907,DET,1907DET,AL,WS,CF,5,5,138,6,2,0,1,0,,,,,
81,donovbi01,1907,DET,1907DET,AL,WS,P,2,2,63,2,3,0,0,0,,,,,
