id,year,league,team,teamID,parkID,spanFirst,spanLast,games,openings,attendance,createdAt,updatedAt
70,1875,NA,PH2,1875PH2,LUD01,1875-09-22,1875-09-22,1,1,500,,
71,1875,NA,PH2,1875PH2,PHI01,1875-04-26,1875-10-25,31,29,25229,,
72,1875,NA,PH3,1875PH3,PHI02,1875-04-21,1875-05-24,7,5,3300,,
73,1875,NA,SL1,1875SL1,STL01,1875-05-04,1875-07-04,14,14,5700,,
74,1875,NA,SL2,1875SL2,STL02,1875-05-06,1875-10-08,34,34,81028,,
75,1875,NA,WS6,1875WS6,BAL02,1875-06-01,1875-06-09,2,1,200,,
76,1875,NA,WS6,1875WS6,RIC01,1875-04-29,1875-05-01,2,2,2000,,
77,1875,NA,WS6,1875WS6,WAS01,1875-04-26,1875-06-08,8,7,8350,,
78,1876,NL,BSN,1876BSN,BOS01,1876-04-29,1876-10-21,36,0,0,,
79,1876,NL,CHN,1876CHN,CHI02,1876-05-10,1876-09-27,31,0,0,,
80,1876,NL,CN1,1876CN1,CIN02,1876-04-25,1876-10-09,30,0,0,,
81,1876,NL,HAR,1876HAR,HRT01,1876-05-01,1876-09-16,32,0,0,,
82,1876,NL,LS1,1876LS1,LOU01,1876-04-25,1876-10-05,33,0,0,,
83,1876,NL,NY3,1876NY3,NYC01,1876-04-25,1876-10-17,33,0,0,,
84,1876,NL,PHN,1876PHN,PHI01,1876-04-22,1876-09-16,35,0,0,,
85,1876,NL,SL3,1876SL3,STL02,1876-05-05,1876-10-04,30,0,0,,
86,1877,NL,BSN,1877BSN,BOS01,1877-06-02,1877-09-29,32,0,0,,
87,1877,NL,CHN,1877CHN,CHI02,1877-05-08,1877-10-06,29,0,0,,
88,1877,NL,CN1,1877CN1,CIN02,1877-05-14,1877-09-29,31,0,0,,
89,1877,NL,HAR,1877HAR,NEW01,1877-09-22,1877-09-22,1,0,0,,
90,1877,NL,HAR,1877HAR,NYC01,1877-04-30,1877-09-21,28,0,0,,
91,1877,NL,LS1,1877LS1,LOU01,1877-05-10,1877-09-29,29,0,0,,
92,1877,NL,SL3,1877SL3,STL02,1877-05-08,1877-10-06,30,0,0,,
93,1878,NL,BSN,1878BSN,BOS01,1878-05-04,1878-09-28,30,0,0,,
94,1878,NL,CHN,1878CHN,CHI03,1878-05-14,1878-09-14,35,0,0,,
95,1878,NL,CN1,1878CN1,CIN02,1878-05-01,1878-09-07,34,0,0,,
96,1878,NL,IN1,1878IN1,IND01,1878-05-01,1878-09-13,22,0,0,,
97,1878,NL,IN1,1878IN1,PIT01,1878-08-22,1878-08-24,3,0,0,,
