id,playerID,year,gameNum,gameID,team,teamID,league,playedInGame,startingPos, createdAt, updatedAt
83,cronijo01,1935,0,ALS193507080,BOS,1935BOS,AL,1,6,,
84,johnsbo01,1935,0,ALS193507080,PHA,1935PHA,AL,1,7,,
85,simmoal01,1935,0,ALS193507080,CHA,1935CHA,AL,1,8,,
86,vosmijo01,1935,0,ALS193507080,CLE,1935CLE,AL,1,9,,
87,averiea01,1935,0,ALS193507080,CLE,1935CLE,AL,0,,,
88,bluegos01,1935,0,ALS193507080,WS1,1935WS1,AL,1,,,
89,bridgto01,1935,0,ALS193507080,DET,1935DET,AL,0,,,
90,chapmbe01,1935,0,ALS193507080,NYA,1935NYA,AL,1,,,
91,cochrmi01,1935,0,ALS193507080,DET,1935DET,AL,0,,,
92,cramedo01,1935,0,ALS193507080,PHA,1935PHA,AL,1,,,
93,ferreri01,1935,0,ALS193507080,BOS,1935BOS,AL,0,,,
94,grovele01,1935,0,ALS193507080,BOS,1935BOS,AL,0,,,
95,hardeme01,1935,0,ALS193507080,CLE,1935CLE,AL,1,,,
96,myerbu01,1935,0,ALS193507080,WS1,1935WS1,AL,0,,,
97,rowesc01,1935,0,ALS193507080,DET,1935DET,AL,0,,,
98,westsa01,1935,0,ALS193507080,SLA,1935SLA,AL,0,,,
99,walkebi01,1935,0,ALS193507080,SLN,1935SLN,NL,1,1,,
100,wilsoji01,1935,0,ALS193507080,PHI,1935PHI,NL,1,2,,
101,terrybi01,1935,0,ALS193507080,NY1,1935NY1,NL,1,3,,
102,hermabi01,1935,0,ALS193507080,CHN,1935CHN,NL,1,4,,
103,martipe01,1935,0,ALS193507080,SLN,1935SLN,NL,1,5,,
104,vaughar01,1935,0,ALS193507080,PIT,1935PIT,NL,1,6,,
105,medwijo01,1935,0,ALS193507080,SLN,1935SLN,NL,1,7,,
106,bergewa01,1935,0,ALS193507080,BSN,1935BSN,NL,1,8,,
107,ottme01,1935,0,ALS193507080,NY1,1935NY1,NL,1,9,,
