id,award,year,league,playerID,pointsWon,pointsMax,votesFirst,createdAt,updatedAt
113,Cy Young,1974,AL,jenkife01,75,120,10,,
114,Cy Young,1974,AL,perryga01,8,120,1,,
115,Cy Young,1974,AL,ryanno01,28,120,1,,
116,Cy Young,1974,AL,tiantlu01,8,120,0,,
117,Cy Young,1974,NL,billija01,8,120,0,,
118,Cy Young,1974,NL,caprabu01,1,120,0,,
119,Cy Young,1974,NL,carrocl02,2,120,0,,
120,Cy Young,1974,NL,giustda01,1,120,0,,
121,Cy Young,1974,NL,gulledo01,5,120,0,,
122,Cy Young,1974,NL,hraboal01,9,120,0,,
123,Cy Young,1974,NL,marshmi01,96,120,17,,
124,Cy Young,1974,NL,mcgloly01,1,120,0,,
125,Cy Young,1974,NL,messean01,66,120,5,,
126,Cy Young,1974,NL,niekrph01,15,120,1,,
127,Cy Young,1974,NL,suttodo01,12,120,1,,
128,Cy Young,1975,AL,bluevi01,2,120,0,,
129,Cy Young,1975,AL,fingero01,25,120,2,,
130,Cy Young,1975,AL,gossari01,2,120,0,,
131,Cy Young,1975,AL,hunteca01,74,120,7,,
132,Cy Young,1975,AL,kaatji01,7,120,0,,
133,Cy Young,1975,AL,palmeji01,98,120,15,,
134,Cy Young,1975,AL,tananfr01,7,120,0,,
135,Cy Young,1975,AL,wiseri01,1,120,0,,
136,Cy Young,1975,NL,gulledo01,1,120,0,,
137,Cy Young,1975,NL,hraboal01,33,120,2,,
138,Cy Young,1975,NL,jonesra01,80,120,7,,
139,Cy Young,1975,NL,messean01,1,120,0,,
140,Cy Young,1975,NL,montejo01,2,120,0,,
141,Cy Young,1975,NL,seaveto01,98,120,15,,
142,Cy Young,1975,NL,suttodo01,1,120,0,,
143,Cy Young,1976,AL,bluevi01,8,120,0,,
144,Cy Young,1976,AL,campbbi02,7,120,0,,
145,Cy Young,1976,AL,fidryma01,51,120,5,,
146,Cy Young,1976,AL,figueed01,12,120,0,,
147,Cy Young,1976,AL,fingero01,1,120,0,,
148,Cy Young,1976,AL,garlawa01,1,120,0,,
149,Cy Young,1976,AL,palmeji01,108,120,19,,
150,Cy Young,1976,AL,tananfr01,18,120,0,,
151,Cy Young,1976,AL,tiantlu01,10,120,0,,
152,Cy Young,1976,NL,carltst01,11,120,0,,
153,Cy Young,1976,NL,eastwra01,6,120,0,,
154,Cy Young,1976,NL,jonesra01,96,120,15,,
155,Cy Young,1976,NL,koosmje01,69,120,7,,
156,Cy Young,1976,NL,matlajo01,5,120,1,,
157,Cy Young,1976,NL,richajr01,2,120,0,,
158,Cy Young,1976,NL,seaveto01,1,120,0,,
159,Cy Young,1976,NL,suttodo01,25,120,1,,
160,Cy Young,1977,AL,campbbi02,25,140,1,,
161,Cy Young,1977,AL,goltzda01,19,140,1,,
162,Cy Young,1977,AL,guidrro01,5,140,0,,
163,Cy Young,1977,AL,leonade01,45,140,5,,
164,Cy Young,1977,AL,lylesp01,56,140,9,,
165,Cy Young,1977,AL,palmeji01,48,140,6,,
166,Cy Young,1977,AL,rozemda01,4,140,0,,
167,Cy Young,1977,AL,ryanno01,46,140,6,,
168,Cy Young,1977,AL,tananfr01,3,140,0,,
169,Cy Young,1977,NL,candejo01,17,120,1,,
170,Cy Young,1977,NL,carltst01,104,120,17,,
171,Cy Young,1977,NL,johnto01,54,120,3,,
172,Cy Young,1977,NL,reuscri01,18,120,1,,
173,Cy Young,1977,NL,seaveto01,18,120,2,,
174,Cy Young,1977,NL,suttebr01,5,120,0,,
175,Cy Young,1978,AL,caldwmi01,76,140,0,,
176,Cy Young,1978,AL,eckerde01,10,140,0,,
177,Cy Young,1978,AL,figueed01,1,140,0,,
178,Cy Young,1978,AL,gossari01,4,140,0,,
179,Cy Young,1978,AL,guidrro01,140,140,28,,
180,Cy Young,1978,AL,gurala01,1,140,0,,
181,Cy Young,1978,AL,jenkife01,2,140,0,,
182,Cy Young,1978,AL,leonade01,1,140,0,,
183,Cy Young,1978,AL,marshmi01,1,140,0,,
184,Cy Young,1978,AL,palmeji01,14,140,0,,
185,Cy Young,1978,AL,splitpa01,1,140,0,,
186,Cy Young,1978,AL,stanlbo01,1,140,0,,
187,Cy Young,1978,NL,bluevi01,17,120,1,,
188,Cy Young,1978,NL,fingero01,1,120,0,,
189,Cy Young,1978,NL,grimsro02,7,120,0,,
190,Cy Young,1978,NL,hootobu01,38,120,0,,
191,Cy Young,1978,NL,johnto01,1,120,0,,
192,Cy Young,1978,NL,niekrph01,10,120,0,,
193,Cy Young,1978,NL,perryga01,116,120,22,,
194,Cy Young,1978,NL,richajr01,13,120,1,,
195,Cy Young,1978,NL,robindo01,1,120,0,,
196,Cy Young,1978,NL,tekulke01,12,120,0,,
197,Cy Young,1979,AL,eckerde01,1,140,0,,
198,Cy Young,1979,AL,flanami01,136,140,26,,
199,Cy Young,1979,AL,guidrro01,26,140,1,,
200,Cy Young,1979,AL,johnto01,51,140,1,,
201,Cy Young,1979,AL,kernji01,25,140,0,,
202,Cy Young,1979,AL,koosmje01,5,140,0,,
203,Cy Young,1979,AL,lopezau01,1,140,0,,
204,Cy Young,1979,AL,marshmi01,7,140,0,,
205,Cy Young,1979,NL,niekrjo01,66,120,9,,
206,Cy Young,1979,NL,niekrph01,3,120,0,,
207,Cy Young,1979,NL,richajr01,41,120,4,,
208,Cy Young,1979,NL,seaveto01,20,120,0,,
209,Cy Young,1979,NL,suttebr01,72,120,10,,
210,Cy Young,1979,NL,tekulke01,14,120,1,,
211,Cy Young,1980,AL,gossari01,37,140,2,,
212,Cy Young,1980,AL,gurala01,1,140,0,,
213,Cy Young,1980,AL,johnto01,14,140,0,,
214,Cy Young,1980,AL,mcgresc01,1,140,0,,
215,Cy Young,1980,AL,norrimi01,91,140,13,,
216,Cy Young,1980,AL,quiseda01,7,140,0,,
217,Cy Young,1980,AL,stonest01,100,140,13,,
218,Cy Young,1980,NL,bibbyji01,28,120,0,,
219,Cy Young,1980,NL,carltst01,118,120,23,,
220,Cy Young,1980,NL,mcgratu01,1,120,0,,
221,Cy Young,1980,NL,niekrjo01,11,120,0,,
222,Cy Young,1980,NL,reussje01,55,120,1,,
223,Cy Young,1980,NL,rogerst01,1,120,0,,
224,Cy Young,1980,NL,sambijo01,1,120,0,,
225,Cy Young,1980,NL,sotoma01,1,120,0,,
226,Cy Young,1981,AL,burnsbr01,2,140,0,,
227,Cy Young,1981,AL,fingero01,126,140,22,,
228,Cy Young,1981,AL,gossari01,3,140,0,,
229,Cy Young,1981,AL,guidrro01,2,140,0,,
230,Cy Young,1981,AL,gurala01,1,140,0,,
231,Cy Young,1981,AL,martide01,3,140,0,,
232,Cy Young,1981,AL,mccatst01,84,140,6,,
233,Cy Young,1981,AL,morrija02,21,140,0,,
