id,playerID,year,round,team,teamID,league,wins,loses,games,GS,CG,SHO,SV,IPouts,hits,ER,HR,BB,SO,BAOpp,ERA,IBB,WP,HBP,BK,BFP,GF,runs,SH,SF,GIDP,createdAt,updatedAt
38,welchmi01,1889,WS,NY1,1889NY1,NL,0,1,1,1,0,0,0,15,11,5,1,3,1,,9,,,,,,0,8,,,,,
39,dailyed01,1890,WS,LS2,1890LS2,AA,0,2,2,2,2,0,0,51,12,5,1,8,5,,2.65,,,,,,0,12,,,,,
40,ehretre01,1890,WS,LS2,1890LS2,AA,2,0,3,2,2,0,1,60,12,3,0,6,13,,1.35,,,,,,0,9,,,,,
41,lovetto01,1890,WS,BRO,1890BRO,NL,2,2,4,4,4,0,0,105,29,11,0,6,14,,2.83,,,,,,0,16,,,,,
42,meakige01,1890,WS,LS2,1890LS2,AA,0,0,1,0,0,0,0,12,6,0,0,1,1,,0,,,,,,1,6,,,,,
43,stratsc01,1890,WS,LS2,1890LS2,AA,1,1,3,3,1,0,0,57,26,5,0,4,8,,2.37,,,,,,1,15,,,,,
44,terryad01,1890,WS,BRO,1890BRO,NL,1,1,3,3,3,1,0,75,25,10,0,10,8,,3.6,,,,,,0,16,,,,,
45,clarkjo01,1892,CS,CL4,1892CL4,NL,0,2,2,2,2,0,0,51,24,10,1,5,9,,5.29,,,,,,0,16,,,,,
46,cuppyni01,1892,CS,CL4,1892CL4,NL,0,1,1,1,1,0,0,24,6,1,1,4,1,,1.13,,,,,,0,4,,,,,
47,nichoki01,1892,CS,BSN,1892BSN,NL,2,0,2,2,2,1,0,54,17,2,0,4,13,,1,,,,,,0,3,,,,,
48,staleha01,1892,CS,BSN,1892BSN,NL,1,0,1,1,1,0,0,27,10,3,0,1,0,,3,,,,,,0,3,,,,,
49,stiveja01,1892,CS,BSN,1892BSN,NL,2,0,3,3,3,1,0,87,21,3,1,7,17,,0.93,,,,,,0,9,,,,,
50,youngcy01,1892,CS,CL4,1892CL4,NL,0,2,3,3,3,1,0,81,26,9,1,3,9,,3,,,,,,0,11,,,,,
51,dinnebi01,1903,WS,BOS,1903BOS,AL,3,1,4,4,4,2,0,105,29,8,0,8,28,0.23,2.06,0,0,0,0,134,0,8,0,0,0,,
52,hugheto01,1903,WS,BOS,1903BOS,AL,0,1,1,1,0,0,0,6,4,2,0,2,0,0.4,9,0,0,0,0,12,0,3,0,0,0,,
53,kennebr01,1903,WS,PIT,1903PIT,NL,0,1,1,1,0,0,0,21,10,4,0,3,3,0.294,5.14,0,0,0,0,38,0,10,1,0,0,,
54,leevesa01,1903,WS,PIT,1903PIT,NL,0,2,2,2,1,0,0,30,13,6,1,3,2,0.295,5.4,0,0,1,0,48,0,8,0,0,1,,
55,phillde01,1903,WS,PIT,1903PIT,NL,3,2,5,5,5,0,0,132,38,15,0,3,22,0.222,3.07,0,1,1,0,178,0,19,3,0,1,,
56,thompgu01,1903,WS,PIT,1903PIT,NL,0,0,1,0,0,0,0,6,3,1,0,0,1,0.333,4.5,0,0,0,0,9,1,1,0,0,0,,
57,veilbu01,1903,WS,PIT,1903PIT,NL,0,0,1,0,0,0,0,21,5,1,1,5,1,0.217,1.29,0,0,1,0,31,1,1,2,0,2,,
58,youngcy01,1903,WS,BOS,1903BOS,AL,2,1,4,3,3,0,0,102,31,7,1,4,17,0.231,1.85,0,0,1,0,142,1,13,3,0,1,,
59,amesre01,1905,WS,NY1,1905NY1,NL,0,0,1,0,0,0,0,3,1,0,0,1,1,0.25,0,0,0,0,0,5,1,0,0,0,0,,
60,bendech01,1905,WS,PHA,1905PHA,AL,1,1,2,2,2,1,0,51,9,2,0,6,13,0.161,1.06,0,0,0,0,64,0,2,2,0,0,,
61,coaklan01,1905,WS,PHA,1905PHA,AL,0,1,1,1,1,0,0,27,9,3,0,5,2,0.265,3,1,0,1,0,40,0,9,0,0,1,,
62,mathech01,1905,WS,NY1,1905NY1,NL,3,0,3,3,3,3,0,81,13,0,0,1,18,0.141,0,0,1,1,0,94,0,0,0,0,2,,
